product_id,chain_id,price,last_update
1,1,7.20,2026-06-04
1,2,6.80,2026-06-04
1,3,6.90,2026-06-04
1,4,6.70,2026-06-04
1,5,7.00,2026-06-04
2,1,16.90,2026-06-04
2,2,15.40,2026-06-04
2,3,15.90,2026-06-04
2,4,14.90,2026-06-04
2,5,15.80,2026-06-04
3,1,8.90,2026-06-04
3,2,7.90,2026-06-04
3,3,8.20,2026-06-04
3,4,7.50,2026-06-04
3,5,8.00,2026-06-04
4,1,8.90,2026-06-04
4,2,6.90,2026-06-04
4,3,7.50,2026-06-04
4,4,6.50,2026-06-04
4,5,7.20,2026-06-04
5,1,7.90,2026-06-04
5,2,5.90,2026-06-04
5,3,6.20,2026-06-04
5,4,5.50,2026-06-04
5,5,6.00,2026-06-04
6,1,6.90,2026-06-04
6,2,6.50,2026-06-04
6,3,6.70,2026-06-04
6,4,6.20,2026-06-04
6,5,6.60,2026-06-04
7,1,9.90,2026-06-04
7,2,8.90,2026-06-04
7,3,9.20,2026-06-04
7,4,8.50,2026-06-04
7,5,8.80,2026-06-04
8,1,34.90,2026-06-04
8,2,31.90,2026-06-04
8,3,32.90,2026-06-04
8,4,29.90,2026-06-04
8,5,33.50,2026-06-04
9,1,39.90,2026-06-04
9,2,36.90,2026-06-04
9,3,37.90,2026-06-04
9,4,35.90,2026-06-04
9,5,38.50,2026-06-04
10,1,12.90,2026-06-04
10,2,10.90,2026-06-04
10,3,11.50,2026-06-04
10,4,10.50,2026-06-04
10,5,11.20,2026-06-04
